Titre_poste,Lieu,Type_contrat,Date_publication,secteur,competences,Type_contrat_regroupe
Alternance : Technico-commercial H/F – Spécialisation BtoB - BTECH024 - Fontenay-sous-Bois,Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,Alternance,2025-06-05,Non spécifié,Gestion - Finance - Vente,Alternance
Alternant(e) Data Scientist (F/H) - Analyse et Modèles Prédictifs - AM - Fontenay-sous-Bois,Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,Alternance,2025-06-05,Non spécifié,Data science - Gestion - Programmation,Alternance
Alternant(e) Data Analyst (H/F) – Analyse et Visualisation - Fontenay-sous-Bois,Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,Alternance,2025-06-05,Analyse / Statistiques,Cloud computing - Data science - Gestion,Alternance
Manager des Opérations de Sécurité - Dakar,Dakar,CDD,2025-06-05,Informatique-Technologie,Non applicable,CDD
Commercial - Sindia,Thiès,Intérim,2025-06-05,Non spécifié,Vente - Gestion commerciale,Intérim
Responsable Logistique / Gestionnaire de Stocks - Dakar,Dakar,CDI,2025-06-04,Non spécifié,Logistique - Gestion des stocks,CDI
Développeur ANGULAR (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Développement web - Programmation,CDI/CDD/Freelance
Ingénieur DevOps (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Non spécifié,DevOps - Développement,CDI/CDD/Freelance
Développeur DOTNET (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Développement .NET,CDI/CDD/Freelance
Développeur IOS (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Développement mobile iOS,CDI/CDD/Freelance
Développeur JAVA (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Développement Java,CDI/CDD/Freelance
Développeur JAVA JEE (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Développement Java EE,CDI/CDD/Freelance
Développeur JAVASCRIPT (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Développement JavaScript,CDI/CDD/Freelance
Développeur KOTLIN (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Développement mobile Android,CDI/CDD/Freelance
Développeur LARAVEL (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Développement PHP,CDI/CDD/Freelance
